filename	date	artist	title	score	likes	dislikes	views	duration
20100308_The Knife- Tomorrow, In a Year Album Review.jpg	20100308	The Knife	Tomorrow, In a Year	3/10	210	61	25696	397
20100505_Flying Lotus- Cosmogramma ALBUM REVIEW.jpg	20100505	Flying Lotus	Cosmogramma	8/10	1517	40	132687	471
20100509_Little Women- Throat ALBUM REVIEW.jpg	20100509	Little Women	Throat	9/10	249	7	26120	467
20100510_Holy Fuck- Latin ALBUM REVIEW.jpg	20100510	Holy Fuck	Latin	7/10	96	4	10291	339
20100511_The National- High Violet ALBUM REVIEW.jpg	20100511	The National	High Violet	6/10	270	243	53457	354
20100512_Woods- At Echo Lake ALBUM REVIEW.jpg	20100512	Woods	At Echo Lake	8/10	97	1	9901	342
20100513_The New Pornographers- Together ALBUM REVIEW.jpg	20100513	The New Pornographers	Together	7/10	103	3	11959	306
20100516_The Dead Weather- Sea of Cowards ALBUM REVIEW.jpg	20100516	The Dead Weather	Sea of Cowards	5/10	223	41	25433	321
20100517_LCD Soundsystem- This Is Happening ALBUM REVIEW.jpg	20100517	LCD Soundsystem	This Is Happening	9/10	1812	29	135944	383
20100518_The Black Keys- Brothers ALBUM REVIEW.jpg	20100518	The Black Keys	Brothers	7/10	520	53	108384	247
20100519_Sleigh Bells- Treats ALBUM REVIEW.jpg	20100519	Sleigh Bells	Treats	3/10	343	404	43359	322
20100520_Harlem- Hippies ALBUM REVIEW.jpg	20100520	Harlem	Hippies	7/10	197	3	15100	336
20100525_Tobacco- Maniac Meat ALBUM REVIEW.jpg	20100525	Tobacco	Maniac Meat	7/10	151	14	19896	331
20100526_Xasthur- Portal of Sorrow ALBUM REVIEW.jpg	20100526	Xasthur	Portal of Sorrow	4/10	331	60	34608	359
20100528_Ratatat- LP4 ALBUM REVIEW.jpg	20100528	Ratatat	LP4	8/10	241	8	28663	288
20100531_Guilty Simpson- OJ Simpson ALBUM REVIEW.jpg	20100531	Guilty Simpson	OJ Simpson	6/10	114	6	11641	341
20100601_Tame Impala- Innerspeaker ALBUM REVIEW.jpg	20100601	Tame Impala	Innerspeaker	6/10	896	620	95573	305
20100602_Melvins- The Bride Screamed Murder ALBUM REVIEW.jpg	20100602	Melvins	The Bride Screamed Murder	5/10	174	29	15678	334
20100603_Sleepy Sun- Fever ALBUM REVIEW.jpg	20100603	Sleepy Sun	Fever	7/10	93	1	7419	311
20100606_Here We Go Magic- Pigeons ALBUM REVIEW.jpg	20100606	Here We Go Magic	Pigeons	7/10	60	1	7753	318
20100607_Ariel Pink's Haunted Graffiti- Before Today ALBUM REVIEW.jpg	20100607	Ariel Pink's Haunted Graffiti	Before Today	8/10	397	22	51802	327
20100608_Suckers- Wild Smile ALBUM REVIEW.jpg	20100608	Suckers	Wild Smile	7/10	73	3	6081	321
20100610_The Drums- Self-Titled ALBUM REVIEW.jpg	20100610	The Drums- Self	Titled	8/10	358	9	26450	291
20100612_Foals- Total Life Forever ALBUM REVIEW.jpg	20100612	Foals	Total Life Forever	4/10	196	319	31447	242
20100616_Villagers- Becoming A Jackal ALBUM REVIEW.jpg	20100616	Villagers	Becoming A Jackal	6/10	71	4	7693	358
20100617_Devo- Something For Everybody ALBUM REVIEW.jpg	20100617	Devo	Something For Everybody	6/10	184	22	18131	374
20100617_The Radio Dept.- Clinging To A Scheme ALBUM REVIEW.jpg	20100617	The Radio Dept.	Clinging To A Scheme	8/10	333	17	29512	372
20100619_Uffie- Sex Dreams and Denim Jeans ALBUM REVIEW.jpg	20100619	Uffie	Sex Dreams and Denim Jeans	2/10	331	77	28778	328
20100622_Janelle Monáe- The ArchAndroid ALBUM REVIEW.jpg	20100622	Janelle Monáe	The ArchAndroid	8/10	1102	14	82621	486
20100623_Laurie Anderson- Homeland ALBUM REVIEW.jpg	20100623	Laurie Anderson	Homeland	8/10	146	4	13033	420
20100626_Emeralds- Does It Look Like I'm Here ALBUM REVIEW.jpg	20100626	Emeralds	Does It Look Like I'm Here	6/10	82	8	11292	302
20100628_Various Artists- Cloud Cuckooland ALBUM REVIEW.jpg	20100628	Various Artists	Cloud Cuckooland	7/10	47	1	4746	308
20100629_Wolf Parade- Expo 86 ALBUM REVIEW.jpg	20100629	Wolf Parade	Expo 86	6/10	111	7	11905	281
